e_A,e_B,utility_A,utility_B,cvar_A,cvar_B,symmetric
0.05,0.7000000000000001,10.014713746430044,9.549536198646353,8.712716258908161,8.280571493355977,0
0.05,0.75,10.013228511360394,9.391612222115404,8.70625695654677,8.103621702397149,0
0.05,0.8,10.014756640830507,9.18773969732053,8.706849705512541,7.980878949881332,0
0.05,0.8500000000000001,10.014597709413,8.823373181613569,8.703024158912966,7.520850023267684,0
0.05,0.9,10.014469066156241,8.092512135859616,8.69451603513305,6.779542078831427,0
0.1,0.0,9.999350323788136,10.018751042996229,8.622970257185242,8.638853785717693,0
0.1,0.05,9.999282198183744,10.008923945121335,8.612889820071,8.623450597134463,0
0.1,0.1,10.000787493771114,10.00063143743156,8.629495688890946,8.629143894938904,1
0.1,0.15000000000000002,10.000117224535474,9.985873665862384,8.649581251091183,8.655456472351977,0
0.1,0.2,10.00197137708556,9.975949166691493,8.665435990832194,8.655926442748761,0
0.1,0.25,10.002523631271194,9.955347879206572,8.669688358379156,8.633379245505557,0
0.1,0.30000000000000004,10.004731077287143,9.94384231871071,8.693653197347562,8.644804497068222,0
0.1,0.35000000000000003,10.001801053225238,9.913485274946858,8.68736415334415,8.613860610276584,0
0.1,0.4,10.002607822019517,9.898223932569021,8.70165763193626,8.609717291478688,0
0.1,0.45,10.001165013409608,9.86288401324846,8.683395718347406,8.569243038599934,0
0.1,0.5,10.000822924300143,9.824393445098222,8.70323599132509,8.541849246019215,0
0.1,0.55,10.005423248637252,9.786866145224016,8.752292253215321,8.556746093163317,0
0.1,0.6000000000000001,10.004897803094837,9.715465300194122,8.755784684545892,8.612853429469919,0
0.1,0.65,10.005242167104912,9.636871634812938,8.726162111591666,8.389864232834944,0
0.1,0.7000000000000001,10.00483794456057,9.54930135446503,8.691314565578084,8.246851566133136,0
0.1,0.75,10.007478599742889,9.395518700112522,8.753546702061504,8.160741558287128,0
0.1,0.8,10.004353531066844,9.187037055341703,8.691082197858842,7.906530301467196,0
0.1,0.8500000000000001,10.007809989639679,8.826175618318354,8.745815500980704,7.58062058871801,0
0.1,0.9,10.006361139493945,8.094206654739251,8.711894542587368,6.804784770970522,0
0.15000000000000002,0.0,9.985061636968895,10.018662960002972,8.649722591756257,8.660511368024373,0
0.15000000000000002,0.05,9.984932984034664,10.008913585280657,8.635966213934703,8.634410424900606,0
0.15000000000000002,0.1,9.986698311837332,10.00099954027164,8.662360468658798,8.651539673990715,0
0.15000000000000002,0.15000000000000002,9.9875151339347,9.987502353131127,8.647935999488158,8.647756572235956,1
0.15000000000000002,0.2,9.989280796555136,9.977436171944861,8.666970061239557,8.653720903322755,0
0.15000000000000002,0.25,9.990697521163638,9.957871028477815,8.700538533473704,8.670559282624087,0
0.15000000000000002,0.30000000000000004,9.988905328045911,9.942174101224833,8.681595972012788,8.637704428007915,0
0.15000000000000002,0.35000000000000003,9.986803028048639,9.91247435532316,8.679189428029634,8.615656284960261,0
0.15000000000000002,0.4,9.987273282457297,9.897144257004442,8.692597604367252,8.614204360032012,0
0.15000000000000002,0.45,9.989080596410039,9.865043304438988,8.73292246991471,8.622615888687701,0
0.15000000000000002,0.5,9.989236929753872,9.827051349128952,8.728815841924773,8.582038098546233,0
0.15000000000000002,0.55,9.990732587698162,9.786311039248476,8.768018616947504,8.565703445274861,0
0.15000000000000002,0.6000000000000001,9.99150740330192,9.716400158002298,8.726838002458935,8.511006814529209,0
0.15000000000000002,0.65,9.990320201272779,9.636298026411854,8.677575825535577,8.326392187583279,0
0.15000000000000002,0.7000000000000001,9.99216554417497,9.550860430258703,8.715370191554838,8.281699694267608,0
0.15000000000000002,0.75,9.99320403020215,9.395417466853226,8.751922309249624,8.137509093263803,0
0.15000000000000002,0.8,9.994080941032625,9.191043992736827,8.733733684901125,7.978152392222865,0
0.15000000000000002,0.8500000000000001,9.991306212586492,8.824002569031276,8.699729080246886,7.52468845093204,0
0.15000000000000002,0.9,9.991175052380143,8.093107768517381,8.705300257442557,6.775506764516111,0
0.2,0.0,9.97556455362914,10.02094454759091,8.656473351448932,8.682957465605144,0
0.2,0.05,9.974280701988718,10.009967535554294,8.61373137497208,8.62892595242037,0
0.2,0.1,9.97628206665368,10.002312243815535,8.67928528066355,8.688068570171726,0
0.2,0.15000000000000002,9.976735964122673,9.988558262411647,8.65350297763448,8.66479884873125,0
0.2,0.2,9.974603931263871,9.974486433787384,8.62307474657392,8.621917096394306,1
0.2,0.25,9.974999235056464,9.953972428461274,8.648521366886591,8.630909981166191,0
0.2,0.30000000000000004,9.976859133726624,9.941977023233934,8.64855028280743,8.617558977603373,0
0.2,0.35000000000000003,9.978888447532059,9.916532809433141,8.71267845294272,8.66269345590158,0
0.2,0.4,9.976073066953848,9.897725521903503,8.668918147381733,8.603309536846195,0
0.2,0.45,9.978166406506562,9.865981410314722,8.722156722234914,8.624411413563461,0
0.2,0.5,9.977030736612441,9.826736709545218,8.707085387312425,8.57192560573144,0
0.2,0.55,9.978945759696735,9.786304661405175,8.763364552536398,8.571419330998491,0
0.2,0.6000000000000001,9.979538862730717,9.716223273198485,8.722896249486473,8.48085444943423,0
0.2,0.65,9.979010622456276,9.63680056593044,8.673975493607223,8.356618797822675,0
0.2,0.7000000000000001,9.97709176241622,9.547457623250608,8.648986162189216,8.226244725111044,0
0.2,0.75,9.980081765653967,9.394070534863502,8.721989580312988,8.133566800340212,0
0.2,0.8,9.98189876882222,9.190554468791179,8.715809278394293,7.931057210418044,0
0.2,0.8500000000000001,9.981430821462297,8.825927686127406,8.711298775485817,7.559944214306662,0
0.2,0.9,9.982291042839803,8.096141466552883,8.727935632362454,6.816131433741655,0
0.25,0.0,9.95540696745789,10.021794800875842,8.645162167331419,8.700508328178644,0
0.25,0.05,9.954652901812361,10.01142253566657,8.590115093683533,8.635130442392008,0
0.25,0.1,9.955666011818586,10.002770138103976,8.622490320279988,8.658931263565561,0
0.25,0.15000000000000002,9.95852282116598,9.991376246161265,8.654660154192118,8.684035532766197,0
0.25,0.2,9.954603937430921,9.975592223238168,8.631506156944711,8.64941940551838,0
0.25,0.25,9.956010726106374,9.956046822669652,8.689455842061731,8.689387804153093,1
0.25,0.30000000000000004,9.956730101692951,9.942766351787778,8.696696604870079,8.682847359486802,0
0.25,0.35000000000000003,9.956652241510097,9.915364847022579,8.69154780673769,8.653926686217746,0
0.25,0.4,9.960656211630075,9.90339350623607,8.7212321274811,8.66701572377987,0
0.25,0.45,9.958062584957949,9.86683567055897,8.7446437361376,8.666367695176556,0
0.25,0.5,9.961023556071167,9.831682767711897,8.735361839618914,8.618701812058786,0
0.25,0.55,9.960099737278382,9.78843165285464,8.744990038057061,8.516360061335439,0
0.25,0.6000000000000001,9.95955970265821,9.717304829035395,8.724554905529617,8.44202217283821,0
0.25,0.65,9.961496518314123,9.640213585752074,8.744629943157513,8.368289110643284,0
0.25,0.7000000000000001,9.96075469130152,9.552143659680647,8.686611552234696,8.278038232538178,0
0.25,0.75,9.959571221156372,9.394723979472728,8.734041090193971,8.105141992955947,0
0.25,0.8,9.960429621449563,9.190195750977232,8.748809738245857,7.91257235745667,0
0.25,0.8500000000000001,9.958454279746059,8.82387753013308,8.714169993741146,7.507048968906211,0
0.25,0.9,9.959706900700011,8.094480868181874,8.71576842034022,6.769292284659416,0
0.30000000000000004,0.0,9.940714987103147,10.020950386366316,8.606101268782819,8.674797060489562,0
0.30000000000000004,0.05,9.940170926173641,10.010719091762832,8.610390852543299,8.6694711051057,0
0.30000000000000004,0.1,9.940209115085162,10.001165559661455,8.598909053008102,8.648583062788989,0
0.30000000000000004,0.15000000000000002,9.937139745352221,9.9837513811449,8.595070556310931,8.6376446422551,0
0.30000000000000004,0.2,9.942896128785994,9.977755665526475,8.656723512536347,8.687416446263384,0
0.30000000000000004,0.25,9.94073834314767,9.954645296999464,8.62194836571415,8.636671285796623,0
0.30000000000000004,0.30000000000000004,9.94489407535169,9.94479231427625,8.698661549666987,8.697357414534272,1
0.30000000000000004,0.35000000000000003,9.943572618950057,9.916063225768221,8.724839003403106,8.699280306259512,0
0.30000000000000004,0.4,9.9451473341739,9.901602993946225,8.693621629424548,8.652206555235791,0
0.30000000000000004,0.45,9.945676992449346,9.868330908394261,8.699873764912434,8.635629233677177,0
0.30000000000000004,0.5,9.943209804712724,9.82776075436946,8.708966535824034,8.607086602343,0
0.30000000000000004,0.55,9.94446583930754,9.786777328194267,8.748199995434613,8.531548183090871,0
