sub_A,sub_B,utility_A,utility_B,cvar_A,cvar_B,symmetric,no_convergence
0.05,0.45,10.151640130617071,8.765984738994533,6.643801694678762,6.548613167309961,0,0
0.05,0.5,10.218641275416168,8.491641772536976,6.477118456663689,6.3767146712314755,0,0
0.05,0.55,10.294530512408425,8.158176776128474,6.2885350461663645,6.172592063125471,0,0
0.05,0.6000000000000001,10.378176521896963,7.748703210876588,6.093388575424523,5.980730064973333,0,0
0.05,0.65,10.467369286181128,7.231829607536462,5.800237648340717,5.679800214537702,0,0
0.05,0.7000000000000001,10.574404880253919,6.576591291052056,5.5713659264289594,5.443754535690532,0,0
0.05,0.75,10.690078834332942,5.710386845047377,5.211364156330906,4.705095898328756,0,0
0.05,0.8,10.839548748920924,4.528082359125489,4.959926539369945,3.6100763943655694,0,0
0.05,0.8500000000000001,11.012108431705336,2.8253595747857525,4.591867580270128,1.9932122804437602,0,0
0.1,0.0,9.710329321294026,9.807421554675011,7.7724346219174185,7.817761597628737,0,0
0.1,0.05,9.748700331815117,9.77995283205596,7.759428796703026,7.76720722814808,0,0
0.1,0.1,9.788105294018248,9.73710806511539,7.676729423605806,7.670933737002279,1,0
0.1,0.15000000000000002,9.830153576059551,9.677812790136805,7.584105076065119,7.564527412918282,0,0
0.1,0.2,9.875464809030271,9.599736172773872,7.495359343178528,7.462087176026153,0,0
0.1,0.25,9.922191010971812,9.498148562594531,7.3764267157871855,7.331262232076948,0,0
0.1,0.30000000000000004,9.972412802575082,9.37111850910207,7.227951434282159,7.168537082096408,0,0
0.1,0.35000000000000003,10.028476521848047,9.217341940918848,7.118369417211731,7.050990691579319,0,0
0.1,0.4,10.088110481193905,9.02921424921635,6.987513779776931,6.908580816007812,0,0
0.1,0.45,10.153175138588221,8.80135964776008,6.845100042981938,6.751782334572407,0,0
0.1,0.5,10.218799943028182,8.521238714847552,6.592823675138255,6.500420876142369,0,0
0.1,0.55,10.291798165894962,8.183661981584866,6.37747009799289,6.290894712944792,0,0
0.1,0.6000000000000001,10.379783499390262,7.77179606925783,6.207336457526176,6.09397999690875,0,0
0.1,0.65,10.47130812646947,7.25333895504605,5.939552066600583,5.8267474242585235,0,0
0.1,0.7000000000000001,10.577389700098722,6.593437163544594,5.674584170583287,5.542807421061155,0,0
0.1,0.75,10.700529425372507,5.724981399908497,5.386553383363884,4.729644388158953,0,0
0.1,0.8,10.845496190992504,4.539067764603964,5.09084688781275,3.6177730529501404,0,0
0.1,0.8500000000000001,11.018033393283911,2.834195437282453,4.708965302326504,2.0007345593786363,0,0
0.15000000000000002,0.0,9.661623812598778,9.825030628176892,7.719978315826406,7.791598929656346,0,0
0.15000000000000002,0.05,9.702826222885442,9.799762419907529,7.796531412420883,7.841411504702786,0,0
0.15000000000000002,0.1,9.748407097433267,9.762486476633494,7.760635641999064,7.812673428853488,0,0
0.15000000000000002,0.15000000000000002,9.79443469572691,9.706256341646538,7.664252489460268,7.6986393159438355,1,0
0.15000000000000002,0.2,9.844902251294119,9.631868383527099,7.582892169854484,7.596256197869306,0,0
0.15000000000000002,0.25,9.89751917450783,9.534154128789483,7.472801649803228,7.468460120056342,0,0
0.15000000000000002,0.30000000000000004,9.95351805165233,9.41022572569476,7.35713156979768,7.334937797324763,0,0
0.15000000000000002,0.35000000000000003,10.013452966040958,9.256272511618135,7.229793919424337,7.188075671114103,0,0
0.15000000000000002,0.4,10.076344941456771,9.06671203997845,7.085488791189553,7.0275515121167045,0,0
0.15000000000000002,0.45,10.143716872617885,8.836920817956766,6.92805125440641,6.860825752724177,0,0
0.15000000000000002,0.5,10.216399287777488,8.558031665053672,6.760568478011363,6.679959892793489,0,0
0.15000000000000002,0.55,10.294296188035535,8.216727083015508,6.5405677091379575,6.444330947834645,0,0
0.15000000000000002,0.6000000000000001,10.380331531821989,7.798580143245581,6.3138740235752735,6.208777043318278,0,0
0.15000000000000002,0.65,10.476621995733126,7.2782609931414886,6.096522341045325,5.9729461123469925,0,0
0.15000000000000002,0.7000000000000001,10.582086903944937,6.613280114995162,5.8060612789024155,5.56628372424221,0,0
0.15000000000000002,0.75,10.704967692925024,5.740893238157778,5.506579464979074,4.738084372168142,0,0
0.15000000000000002,0.8,10.848779157834185,4.5518250786092,5.178411802915487,3.6206864263759098,0,0
0.15000000000000002,0.8500000000000001,11.022706455059156,2.8445095920362102,4.821691269769754,2.006235160507235,0,0
0.2,0.0,9.594624294858752,9.841318140078164,7.628500144082166,7.704652134653059,0,0
0.2,0.05,9.644120275875324,9.824080673360132,7.786211575106138,7.819478560700188,0,0
0.2,0.1,9.693669369269523,9.78998920449875,7.817172787088331,7.870402368431373,0,0
0.2,0.15000000000000002,9.744709955264105,9.737740242508105,7.71957785090908,7.817824990089415,0,0
0.2,0.2,9.803398711187596,9.670021011585066,7.694493152046861,7.771124963270469,1,0
0.2,0.25,9.859094908572025,9.572788321703497,7.535857173647101,7.585369445418572,0,0
0.2,0.30000000000000004,9.922526287928692,9.452967085461953,7.450886758347195,7.473113204955771,0,0
0.2,0.35000000000000003,9.989133324743111,9.301490647759056,7.35723549159654,7.357972444681094,0,0
0.2,0.4,10.055013595839368,9.10988206017483,7.158120868416173,7.139863984771374,0,0
0.2,0.45,10.130982901121854,8.881092415151594,7.051064059721243,7.009359083945651,0,0
0.2,0.5,10.20630853520408,8.597590637586936,6.848984801401257,6.788438061137667,0,0
0.2,0.55,10.290695275170203,8.254729228970085,6.675717173945809,6.591201241650912,0,0
0.2,0.6000000000000001,10.37976609808702,7.832586809585854,6.462027338045373,6.362718592742958,0,0
0.2,0.65,10.475098752899667,7.305133939327152,6.182179358210217,6.082151295296375,0,0
0.2,0.7000000000000001,10.583437704197644,6.636336431605021,5.910191621219282,5.56834308999595,0,0
0.2,0.75,10.709663049721936,5.760124500754121,5.631312159059311,4.752847692374966,0,0
0.2,0.8,10.852787691240977,4.566300610848883,5.288517313613875,3.6202440538025016,0,0
0.2,0.8500000000000001,11.02811562611605,2.855360796230134,4.934190743794581,2.008797421522943,0,0
0.25,0.0,9.51122836349776,9.86169103056192,7.553246007781762,7.633909159167259,0,0
0.25,0.05,9.560858037974347,9.844089810047375,7.630179097544486,7.669986150607134,0,0
0.25,0.1,9.616354793923628,9.81563370491229,7.737671815113345,7.7373447212714055,0,0
0.25,0.15000000000000002,9.6772019896585,9.7720350447668,7.768617352933937,7.834229592543261,0,0
0.25,0.2,9.740410812656716,9.707792432470816,7.711848355784631,7.8477967786238025,0,0
0.25,0.25,9.806491972733083,9.618094661850613,7.61231548805545,7.735145242382682,1,0
0.25,0.30000000000000004,9.877754334537403,9.502245240567035,7.558692664507836,7.6476987241485475,0,0
0.25,0.35000000000000003,9.951508929281992,9.352611037299312,7.445823142472059,7.497227557383497,0,0
0.25,0.4,10.027616105305341,9.164205088862095,7.3083965442900825,7.328848669576978,0,0
