extax_AB,extax_BA,utility_A,utility_B,cvar_A,cvar_B,symmetric
0.1,0.05,9.580532941987798,9.567968839060478,5.355414936188854,5.31596252350862,0
0.1,0.1,9.572336792431795,9.572340902500251,5.319439380156077,5.319323256307202,1
0.1,0.15000000000000002,9.567163239456576,9.575950615382334,5.32326076396453,5.3595003813199895,0
0.1,0.2,9.559914311727095,9.574649142665596,5.288684491277255,5.355917856352031,0
0.1,0.25,9.554089480244832,9.57275823770337,5.259415404501051,5.352189305431416,0
0.1,0.30000000000000004,9.549237459628525,9.570442031567508,5.234950291636944,5.34935320593343,0
0.1,0.35000000000000003,9.54468291080109,9.567277324077299,5.214152579414722,5.345563910052006,0
0.1,0.4,9.540807371043813,9.563943046094833,5.193595742155297,5.3384655573487825,0
0.1,0.45,9.537232802002004,9.560443497709999,5.172902584952138,5.328442742992522,0
0.1,0.5,9.535143928935108,9.558076966248088,5.169368618301474,5.333827488960695,0
0.1,0.55,9.533688273396708,9.55610119936092,5.178416896679232,5.350339288965,0
0.1,0.6000000000000001,9.532095272996298,9.553652721287046,5.177776517278835,5.355356788495242,0
0.1,0.65,9.529116352350313,9.549889708465612,5.155425530298628,5.336951845049801,0
0.1,0.7000000000000001,9.528650596451829,9.548410675588384,5.1620388288148265,5.347693588119153,0
0.1,0.75,9.525885675635235,9.544647622409528,5.13330679867686,5.321032053737982,0
0.1,0.8,9.52521835064657,9.543236691588902,5.149252940607002,5.340335621866095,0
0.1,0.8500000000000001,9.525631775143573,9.542578648947723,5.161189533533524,5.355012601787976,0
0.1,0.9,9.524139634600447,9.540047605505212,5.142455806298776,5.337436301258354,0
0.1,0.9500000000000001,9.522666709548984,9.53781402332696,5.135831062419663,5.332297645345755,0
0.1,1.0,9.521339472647663,9.535679059835902,5.121807401887711,5.319093506745875,0
0.15000000000000002,0.0,9.589789134199417,9.550658523352352,5.336726880473081,5.24217842841048,0
0.15000000000000002,0.05,9.584880146208313,9.563368181729096,5.397277116961473,5.324146640312933,0
0.15000000000000002,0.1,9.573705599931918,9.564903159233968,5.326590346593778,5.2907733889410835,0
0.15000000000000002,0.15000000000000002,9.567979596583914,9.567978099861982,5.318748994962272,5.318615848595139,1
0.15000000000000002,0.2,9.560159034040447,9.56609275691052,5.268228682506552,5.30014165716039,0
0.15000000000000002,0.25,9.556458624828325,9.566329984784637,5.271921883740827,5.331550604780496,0
0.15000000000000002,0.30000000000000004,9.552084128974496,9.564151575134945,5.260693331120173,5.344411227803647,0
0.15000000000000002,0.35000000000000003,9.54742766946026,9.560811583387903,5.226814398464165,5.329847476724787,0
0.15000000000000002,0.4,9.544877860641492,9.558813368866055,5.228444250680266,5.348970902021177,0
